Experiment_ID,Compound_Name,Reaction_Type,Temperature_C,Pressure_atm,Catalyst_Used,Processing_Delay_min,Yield_Percentage
1,Ethanol,Dehydration,170,1,H2SO4,15,88.5
2,Methane,Combustion,400,5,None,5,99.2
3,Ammonia,Haber_Process,450,200,Fe,120,15.0
4,Aspirin,Esterification,60,1,H3PO4,45,76.4
5,Benzene,Nitration,55,1,HNO3,30,82.1
6,Glucose,Fermentation,30,1,Yeast,1440,12.5
7,Sodium_Chloride,Electrolysis,800,1,None,60,95.0
8,Acetic_Acid,Oxidation,150,10,Pd,40,91.2
9,Hydrogen_Peroxide,Decomposition,25,1,MnO2,10,98.8
10,Polyethylene,Polymerization,200,1500,Ziegler-Natta,180,94.5
11,Methanol,Carbonylation,180,30,Rh,90,89.0
12,Nitrobenzene,Reduction,100,2,Sn_HCl,120,78.9
13,Cobalt_Chloride,Halogenation,159,176,Ag,1192,83.6
14,Acetone,Addition,980,91,V2O5,946,16.3
15,Cobalt_Chloride,Redox,457,43,V2O5,100,72.4
16,Acetone,Calcination,389,177,Ag,174,11.9
17,Acetone,Reforming,601,170,Acid,458,42.8
18,Mercury_Oxide,Halogenation,677,145,AlCl3,904,51.2
19,Potassium_Permanganate,Substitution,284,185,V2O5,1280,94.0
20,Chromium_Trioxide,Neutralization,761,21,Pd,1494,54.6
21,Chlorine,Roasting,296,18,Pd,989,30.4
22,Silver_Chloride,Saponification,770,5,Acid,552,70.5
23,Copper_Sulfate,Redox,911,70,Acid,669,92.9
24,Propane,Rearrangement,449,1,None,998,93.3
25,Potassium_Permanganate,Precipitation,706,80,Cu,1719,57.5
26,Lead_Nitrate,Roasting,47,186,Au,1746,88.4
27,Iron_Oxide,Substitution,255,165,AlCl3,371,19.7
28,Sulfur_Dioxide,Hydrogenation,509,199,Zeolite,1510,32.5
29,Styrene,Cracking,844,67,None,1730,76.5
30,Carbon_Dioxide,Reforming,323,13,Au,1774,84.9
31,Chlorine,Elimination,159,133,None,987,71.3
32,Silicon_Dioxide,Reforming,799,59,None,478,17.9
33,Sulfuric_Acid,Neutralization,731,23,Base,1154,53.2
34,Silver_Chloride,Neutralization,450,101,None,1415,74.9
35,Styrene,Roasting,223,28,Enzyme,1413,46.1
36,Polyester,Hydrogenation,155,88,Ag,1636,81.1
37,Fluorine,Roasting,369,12,Fe,713,41.1
38,Krypton,Alkylation,571,138,Acid,461,41.0
39,Phosphorus_Pentoxide,Neutralization,556,128,Pd,1532,38.4
40,Magnesium_Oxide,Redox,765,149,None,1989,92.2
41,Radon,Hydrogenation,125,36,None,1839,46.9
42,Toluene,Roasting,418,169,None,1653,76.9
43,Butane,Elimination,908,165,Fe,1505,63.8
44,Silver_Chloride,Alkylation,290,95,Fe,652,42.0
45,Magnesium_Oxide,Halogenation,362,194,Enzyme,1698,31.3
46,Aniline,Cracking,231,106,Enzyme,634,81.9
47,Lead_Nitrate,Substitution,924,18,V2O5,498,50.7
48,Styrene,Precipitation,216,39,None,251,10.0
49,Gold_Chloride,Complexation,786,38,Base,218,80.9
50,Phosphorus_Pentoxide,Halogenation,193,40,Acid,231,24.8
51,Xenon,Alkylation,914,83,Pt,526,91.8
52,Nitrogen_Dioxide,Redox,496,113,Base,34,40.2
53,Lithium_Carbonate,Halogenation,755,111,Acid,39,24.1
54,Potassium_Permanganate,Elimination,947,168,Fe,58,84.7
55,Aniline,Complexation,213,147,Acid,1224,98.7
56,Titanium_Dioxide,Elimination,504,32,Cu,1237,93.6
57,Iron_Oxide,Alkylation,625,149,Fe,330,37.6
58,Ethene,Isomerization,931,101,V2O5,264,32.9
59,Argon,Reforming,96,32,V2O5,1614,78.4
60,Ethene,Halogenation,236,191,Cu,286,96.7
61,Gold_Chloride,Complexation,575,172,None,1888,46.4
62,Phenol,Neutralization,950,200,None,942,31.0
63,Lithium_Carbonate,Calcination,170,34,Cu,1066,48.1
64,Chromium_Trioxide,Elimination,194,36,None,1244,20.3
65,Krypton,Redox,959,184,None,1580,53.6
66,Ethene,Alkylation,63,184,Enzyme,1094,49.3
67,Aniline,Substitution,118,8,Pt,776,52.6
68,Sulfuric_Acid,Substitution,529,124,Enzyme,202,55.8
69,Acetone,Calcination,531,132,Fe,825,64.4
70,Nitric_Acid,Neutralization,89,93,None,1747,95.4
71,Acetone,Addition,473,161,Zeolite,166,79.0
72,Potassium_Permanganate,Redox,851,135,None,1094,51.3
73,Sulfur_Dioxide,Substitution,674,10,AlCl3,1572,78.1
74,Silicon_Dioxide,Saponification,606,96,Fe,225,98.8
75,Xenon,Hydrolysis,462,151,Base,1869,34.9
76,Beryllium_Oxide,Alkylation,350,44,Acid,919,92.0
77,Phosphorus_Pentoxide,Substitution,392,44,Fe,133,85.7
78,Lead_Nitrate,Hydrolysis,556,76,Ag,217,41.7
79,Nylon,Neutralization,421,101,Pd,2000,65.0
80,Acetone,Hydrogenation,473,123,V2O5,675,73.1
81,Boron_Trifluoride,Alkylation,931,90,None,1986,84.1
82,Sodium_Hydroxide,Polymerization,931,34,Zeolite,1033,37.5
83,PVC,Calcination,230,5,Au,1934,27.9
84,Aniline,Isomerization,327,118,Acid,1340,47.7
